0,0,0
1000,0,0,0
2000,0,0,0
3001,0,0,0
4002,0,0,0
5003,506,520,0
6004,500,523,507
7005,506,528,504
8006,505,521,504
9007,507,524,506
10008,504,522,505
11009,506,521,508
12010,507,523,506
13011,507,522,506
14012,507,523,507
15013,507,525,506
16015,507,522,504
17015,512,521,506
18017,507,523,504
19018,510,523,507
20019,508,522,506
21020,512,524,507
22021,508,520,507
23022,508,520,507
24024,505,522,504
25024,512,526,507
26025,511,520,504
27027,512,520,506
28027,513,522,507
29029,511,523,508
30029,508,524,508
31031,508,521,507
32032,510,520,507
33033,511,521,508
34034,511,523,505
35036,514,523,505
36036,512,520,505
37038,508,524,504
38038,513,523,506
39040,514,523,509
40041,512,524,508
41041,514,525,506
42043,512,523,508
43044,513,524,507
44045,512,525,506
45046,513,524,506
46048,514,521,504
47048,515,522,505
48050,510,525,506
49050,512,524,508
50052,513,523,506
51053,510,523,506
52054,514,525,506
53055,512,523,507
54056,512,523,505
55057,509,521,504
56058,511,522,505
57059,515,523,505
58060,509,524,508
59062,513,521,508
60062,515,521,508
61064,514,524,509
62065,513,522,508
63066,510,521,507
64067,515,523,503
65068,512,523,506
66069,516,526,506
67070,512,525,504
68071,511,525,507
69072,509,523,508
70074,514,523,508
71074,516,524,508
72076,515,523,508
73077,513,524,508
74078,511,522,507
75079,515,523,507
76080,513,523,507
77081,515,520,505
78083,513,521,506
79083,510,524,507
80084,514,521,506
81086,510,522,507
82086,514,524,508
83088,513,521,506
84088,514,521,505
85090,514,526,506
86091,511,524,506
87092,512,526,506
88093,511,524,508
89095,513,525,506
90095,515,526,506
91097,516,522,507
92097,514,524,507
93099,513,525,506
94100,514,523,505
95100,510,524,506
96102,513,524,504
97103,515,524,506
98104,512,523,508
99105,513,526,508
100107,510,522,508
101107,512,523,507
102109,513,524,506
103110,511,525,505
104111,515,521,504
105112,510,523,504
106114,514,523,505
107114,512,524,508
108115,514,524,507
109117,515,523,507
110117,512,522,505
111119,515,524,506
112120,511,524,509
113121,512,522,506
114122,512,524,507
115124,511,522,507
116124,516,524,506
117126,511,522,506
118127,509,520,508
119128,515,521,507
120129,515,523,507
121131,513,523,507
122131,514,520,508
123132,513,523,506
124134,514,522,506
125134,514,525,505
126136,512,524,507
127137,512,522,506
128138,517,520,506
129139,511,521,508
130141,515,524,509
131141,512,522,507
132143,509,522,506
133144,510,524,506
134145,512,522,505
135146,516,521,505
136147,510,525,504
137148,514,523,508
138149,516,521,507
139151,516,523,506
140152,515,521,505
141153,512,524,508
142154,513,524,506
143156,514,521,504
144156,514,523,504
145158,514,525,506
146159,515,525,508
147160,514,522,507
148161,510,522,508
149163,512,525,506
150163,510,521,507
151164,511,522,506
152166,514,525,506
153166,512,521,506
154168,513,522,504
155169,511,524,503
156170,512,522,508
157171,515,523,506
158173,514,522,508
159173,513,524,507
160175,510,525,508
161176,514,523,508
162177,516,526,503
163178,515,525,507
164179,510,521,504
165180,509,524,506
166181,512,523,508
167183,511,525,508
168183,511,524,507
169185,515,524,505
170186,512,521,509
171187,513,521,507
172188,512,526,505
173190,511,523,504
174190,513,524,506
175192,512,525,505
176193,516,524,507
177195,516,523,506
178195,515,520,508
179196,513,521,508
180198,514,522,507
181198,516,524,508
182200,512,522,505
183201,515,523,504
184202,512,523,505
185203,515,524,505
186205,512,524,507
187205,514,524,506
188207,515,523,508
189208,514,523,505
190209,514,523,506
191210,508,523,506
192211,510,524,504
193212,515,522,505
194213,511,524,504
195215,515,525,506
196215,512,524,505
197217,514,524,508
198218,511,522,508
199219,514,524,506
200220,515,524,506
201222,512,525,506
202222,512,523,507
203224,513,524,506
204225,511,522,504
205225,514,522,508
206227,512,524,506
207228,513,528,508
208229,511,524,507
209230,512,523,506
210232,513,524,508
211232,512,526,506
212234,513,522,504
213235,516,524,505
214237,514,520,506
215237,511,523,508
216239,514,522,507
217240,513,521,505
218241,513,521,507
219242,511,521,505
220243,511,521,506
221244,515,521,505
222245,517,524,504
223247,512,520,505
224247,515,522,504
225249,517,521,506
226250,512,521,507
227251,517,522,506
228252,513,520,506
229254,514,520,507
230254,517,522,508
231256,513,521,505
232257,513,523,504
233257,515,524,505
234259,513,522,505
235260,516,522,507
236261,511,523,508
237262,515,524,506
238264,516,524,505
239264,512,523,508
240266,517,523,505
241267,515,523,506
242268,512,521,505
243269,517,521,504
244271,516,522,507
245271,517,525,506
246273,511,523,507
247274,513,523,506
248275,516,522,507
249276,515,521,506
250277,513,521,506
251279,515,525,504
252279,515,526,506
253281,511,521,504
254282,515,524,505
255283,517,522,506
256284,516,523,506
257286,515,521,507
258286,513,524,507
259288,512,525,507
260289,510,523,505
261289,517,522,505
262291,515,523,504
263292,515,521,504
264293,516,522,506
265294,515,523,506
266296,516,521,508
267296,516,521,508
268298,516,524,507
269299,513,522,506
270300,513,522,503
271301,514,520,504
272303,514,525,505
273303,516,523,505
274305,517,525,506
