1.08,1023,1023,886,790,736
2,1.08,1023,1022,971,895,828
4,1.08,1023,1023,996,950,896
22,1.08,1023,1021,1005,974,940
55,1.08,1023,1023,1009,984,962
87,1.08,1022,1023,1012,988,971
119,1.08,1023,1023,1011,990,975
152,1.08,1023,1022,1013,991,978
186,1.08,1023,1022,1011,991,979
219,1.08,1023,1022,1010,990,979
252,1.08,1023,1022,1012,991,979
285,1.08,1023,1023,1012,991,979
319,1.08,1022,1023,1012,991,979
352,1.08,1023,1023,1013,991,979
386,1.08,1022,1023,1013,992,979
418,1.08,1023,1023,1014,993,979
452,1.08,1023,1023,1014,993,979
485,1.08,1023,1023,1013,993,979
519,1.08,1023,1022,1013,992,979
551,1.08,1023,1022,1014,993,978
585,1.08,1023,1022,1013,993,978
618,1.08,1023,1021,1012,992,977
652,1.08,1023,1022,1012,992,977
685,1.08,1023,1023,1013,992,977
718,1.08,1022,1023,1013,992,976
751,1.08,1022,1023,1013,992,976
785,1.08,1023,1023,1013,993,976
818,1.08,1023,1023,1013,993,976
851,1.08,1023,1023,1013,993,976
884,1.08,1023,1023,1013,994,976
918,1.08,1023,1021,1013,993,976
951,1.08,1023,1022,1013,993,976
985,1.08,1023,1023,1012,993,976
1017,1.08,1023,1023,1012,993,978
1052,1.08,1023,1022,1012,993,981
1086,1.08,1023,1023,1011,993,983
1121,1.08,1023,1023,1010,993,984
1155,1.08,1023,1022,1010,994,985
1189,1.08,1023,1022,1009,996,987
1223,1.08,1023,1023,1009,998,988
1258,1.08,1023,1023,1008,998,989
1292,1.08,1023,1023,1008,999,989
1327,1.08,1023,1023,1008,999,987
1360,1.08,1022,1022,1009,999,984
1395,1.08,1022,1023,1010,1000,982
1430,1.08,1023,1023,1011,997,979
1465,1.08,1023,1022,1011,996,978
1499,1.08,1023,1022,1012,995,977
1533,1.08,1023,1023,1011,993,977
1567,1.08,1023,1022,1012,993,978
1602,1.08,1023,1020,1012,993,981
1637,1.08,1023,1023,1010,992,982
1671,1.08,1023,1023,1010,992,983
1705,1.08,1023,1023,1009,993,984
1739,1.08,1023,1023,1009,995,986
1774,1.08,1023,1023,1008,997,987
1808,1.08,1022,1023,1008,997,988
1843,1.08,1023,1023,1008,998,988
1876,1.08,1021,1023,1008,999,987
1911,1.07,1023,1023,1008,998,985
1945,1.08,1023,1023,1010,999,983
1980,1.08,1022,1023,1010,999,982
2014,1.08,1023,1023,1010,997,980
2049,1.08,1023,1023,1009,995,978
2082,1.08,1023,1022,1010,994,977
2117,1.08,1023,1022,1012,994,977
2151,1.08,1023,1021,1012,994,978
2186,1.08,1023,1022,1011,993,980
2220,1.08,1023,1022,1011,993,981
2254,1.08,1023,1023,1009,992,982
2288,1.08,1023,1022,1009,993,984
2323,1.07,1023,1023,1008,994,985
2357,1.08,1023,1023,1007,995,986
2392,1.07,1023,1023,1007,996,987
2425,1.08,1023,1023,1008,997,987
2460,1.07,1023,1023,1007,997,986
2494,1.08,1022,1023,1008,998,985
2529,1.08,1022,1023,1009,998,983
2563,1.08,1023,1023,1010,999,983
2597,1.08,1022,1023,1011,999,981
2631,1.08,1022,1023,1011,997,979
2666,1.08,1023,1023,1011,996,978
2701,1.08,1023,1023,1012,995,977
2735,1.08,1023,1022,1012,994,978
2769,1.08,1023,1022,1012,993,979
2803,1.08,1023,1022,1011,993,981
